user_id,date_account_created,gender,modified_age,signup_method,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,Total_time_secs
0035hobuyj,01/02/2014,FEMALE,36.5,basic,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,5724670
009a40t3dk,02/07/2014,MALE,33,basic,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,2079299
00fhpdik5t,01/24/2014,-unknown-,36.5,basic,en,seo,facebook,product,Web,Mac Desktop,Chrome,NDF,221087
00fn6wu77e,01/29/2014,FEMALE,27,facebook,de,direct,direct,linked,Web,Mac Desktop,Chrome,DE,2627237
00fyswof3k,01/23/2014,MALE,18,basic,en,direct,direct,untracked,Web,Windows Desktop,IE,US,3625032
00g52q8uim,01/15/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Mac Desktop,Safari,NDF,511514
00hy2p1zsj,01/08/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,NDF,277080
00iapy7gb3,01/24/2014,-unknown-,44,basic,en,direct,direct,untracked,Web,Windows Desktop,IE,US,838194
00kc2e4bgp,01/15/2014,-unknown-,36.5,basic,en,sem-non-brand,google,linked,Web,Mac Desktop,Safari,NDF,2404439
00ljwkmboz,01/13/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,3328492
00s1ecz3b2,01/02/2014,MALE,36.5,basic,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,538674
00uh75242k,01/08/2014,-unknown-,36.5,basic,zh,seo,google,linked,Web,iPad,Mobile Safari,NDF,310704
00v0o06skl,01/31/2014,FEMALE,52,basic,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF,3298771
00v3py7ooq,01/16/2014,MALE,52,basic,de,seo,google,linked,Web,Mac Desktop,Chrome,NDF,1422653
00v742bb74,01/12/2014,MALE,27,basic,en,direct,direct,untracked,Moweb,Other/Unknown,-unknown-,NDF,439587
01188d2ec6,01/23/2014,MALE,40,basic,en,direct,direct,linked,Web,Mac Desktop,Firefox,DE,1896872
015wz0i7jm,01/31/2014,MALE,26,basic,en,direct,direct,linked,Web,Mac Desktop,Safari,US,686483
0174n9s5zb,01/23/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Moweb,Other/Unknown,-unknown-,NDF,1258719
017hizxm3t,01/16/2014,MALE,28,basic,en,other,other,tracked-other,Web,Windows Desktop,Chrome,NDF,182860
019h7z9hyq,02/12/2014,FEMALE,25,facebook,en,api,other,linked,iOS,Mac Desktop,Safari,NDF,371
01b38fp04a,01/22/2014,OTHER,31,basic,it,direct,direct,linked,Web,Windows Desktop,Chrome,US,2042170
01e5z8uboa,01/26/2014,-unknown-,36.5,basic,en,seo,google,untracked,Web,Windows Desktop,Chrome,US,2163837
01khid4m8b,02/02/2014,FEMALE,24,facebook,en,seo,google,linked,Web,iPad,Mobile Safari,other,2210089
01l5gtpaww,01/07/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,Windows Desktop,IE,NDF,10524
01mc83wvzb,02/10/2014,MALE,37,facebook,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF,284518
01p3ynmfs7,02/10/2014,FEMALE,26,facebook,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,US,5176040
01r3iatdvv,02/11/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,813485
020ia9eujh,01/25/2014,MALE,25,basic,en,other,padmapper,tracked-other,Web,Mac Desktop,Chrome,NDF,675913
021h9b5hoe,01/21/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF,2401600
023mzjguit,02/10/2014,FEMALE,35,facebook,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,1010238
026a0etyle,02/05/2014,MALE,32,facebook,en,direct,direct,untracked,Web,Mac Desktop,Firefox,NDF,773985
029q92mbfc,02/06/2014,MALE,34,facebook,en,content,google,omg,Web,Windows Desktop,Chrome,NDF,1158339
02c9qrqjjj,01/03/2014,-unknown-,27,basic,en,direct,direct,untracked,iOS,Windows Desktop,Firefox,US,86000
02j4ylsh0c,02/15/2014,MALE,29,facebook,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,797150
02r7iod8l7,02/02/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF,327282
02tptrizx7,01/11/2014,MALE,37,facebook,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,3152529
033oexa2qw,01/01/2014,MALE,27,facebook,en,api,other,untracked,Android,Other/Unknown,-unknown-,NDF,886828
033qwzzv1o,02/06/2014,-unknown-,59,basic,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US,643495
039664pl26,01/02/2014,FEMALE,25,basic,en,sem-non-brand,google,linked,Web,Mac Desktop,Safari,US,1504846
039y0r29tw,01/15/2014,-unknown-,36.5,basic,ru,direct,direct,untracked,Web,Windows Desktop,Chrome,IT,573382
03fu4odod3,02/13/2014,FEMALE,38,basic,en,direct,direct,untracked,Web,Windows Desktop,IE,US,1600842
03fu6zodma,01/22/2014,MALE,36,facebook,en,sem-brand,google,linked,Web,Mac Desktop,Chrome,US,5649077
03im9sqlcr,01/13/2014,FEMALE,29,basic,en,direct,direct,untracked,Web,Mac Desktop,Firefox,NDF,2143680
03j27kl1xn,01/17/2014,-unknown-,37,basic,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US,3387992
03jbozytmd,01/07/2014,MALE,27,basic,en,direct,direct,omg,Android,Windows Desktop,IE,other,570674
03p4y7n05u,02/14/2014,MALE,54,basic,en,sem-non-brand,google,omg,Web,Windows Desktop,IE,US,3895099
03qbeknjp1,01/02/2014,-unknown-,36.5,basic,nl,direct,direct,untracked,Web,Mac Desktop,Safari,other,3720627
03s21mu1mp,01/30/2014,-unknown-,61,basic,en,content,google,omg,Web,Windows Desktop,Chrome,NDF,128044
03xa1sfo09,01/14/2014,-unknown-,36.5,basic,en,direct,direct,linked,Web,Windows Desktop,Firefox,NDF,1217767
0431ssr0wu,01/17/2014,FEMALE,44,facebook,en,api,other,untracked,Android,Other/Unknown,-unknown-,NDF,18496
046io03d0w,01/28/2014,-unknown-,36.5,basic,en,sem-non-brand,google,omg,Web,iPad,Mobile Safari,NDF,1956642
04atg7t0xx,01/21/2014,FEMALE,22,basic,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,GB,319047
04fzdotqyw,02/05/2014,-unknown-,67,basic,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF,2446345
04g2w1vlrz,01/17/2014,-unknown-,36.5,basic,en,sem-non-brand,google,omg,Web,Windows Desktop,IE,NDF,174388
04kwlgm6ke,01/06/2014,FEMALE,49,facebook,en,direct,direct,untracked,Web,Windows Desktop,IE,US,2284095
04ouahws0e,01/07/2014,MALE,45,facebook,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF,127566
056mdvuvw7,01/26/2014,MALE,33,facebook,en,api,other,untracked,iOS,iPhone,-unknown-,NDF,168
056t8rgj4z,01/25/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,NDF,627651
058h6gp2af,01/07/2014,MALE,35,basic,en,direct,direct,linked,Web,Windows Desktop,Firefox,US,1081637
05dajvxi0r,01/21/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,3774039
05gtje6w4g,01/14/2014,MALE,36,basic,en,seo,google,untracked,Web,Mac Desktop,Chrome,NDF,178245
05rokc2ikl,01/10/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,US,8041
05uz7l4it5,02/02/2014,FEMALE,36.5,basic,en,sem-brand,google,omg,Web,iPad,Mobile Safari,NDF,1324694
05yjq0v7f3,02/14/2014,MALE,36.5,facebook,en,api,other,linked,Moweb,Desktop (Other),Chrome,NDF,844817
05zznjnw3i,01/25/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Mac Desktop,Safari,GB,1554878
064cfomyz7,02/03/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Moweb,iPhone,-unknown-,NDF,241248
064ft1o2mm,01/06/2014,FEMALE,69,facebook,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF,1026
066e4qs0h1,01/25/2014,-unknown-,36.5,basic,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,NDF,580707
066m7i5lcg,01/20/2014,-unknown-,36.5,basic,en,sem-brand,google,linked,Web,iPad,Mobile Safari,NDF,2751644
06cfe7ygs7,01/31/2014,FEMALE,59,facebook,en,direct,direct,omg,Web,iPad,Mobile Safari,NDF,28952
06pzk21x5s,01/01/2014,FEMALE,27,facebook,en,direct,direct,untracked,Web,iPhone,Mobile Safari,NDF,102709
06sr2tkewn,02/14/2014,FEMALE,36.5,basic,en,sem-brand,google,untracked,Web,iPad,Mobile Safari,US,1409156
06t5vzo7nb,01/08/2014,-unknown-,66,basic,en,direct,direct,untracked,Web,Windows Desktop,Chrome,ES,1805048
06y3igvfsg,01/11/2014,-unknown-,36.5,basic,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,1374633
075fdcnz1q,01/11/2014,MALE,36.5,basic,en,direct,direct,untracked,Moweb,iPad,Mobile Safari,NDF,667238
07b1x7faw0,01/14/2014,MALE,31,facebook,en,api,other,untracked,iOS,Windows Desktop,Chrome,NDF,362999
07ib5ijano,01/22/2014,FEMALE,32,facebook,zh,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,981351
07ifh0e1ii,02/11/2014,FEMALE,45,basic,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,1405799
