user_id,Total_time_secs
(blank),60589614
0035hobuyj,5724670
009a40t3dk,2079299
00fhpdik5t,221087
00fn6wu77e,2627237
00fyswof3k,3625032
00g52q8uim,511514
00hy2p1zsj,277080
00iapy7gb3,838194
00kc2e4bgp,2404439
00ljwkmboz,3328492
00s1ecz3b2,538674
00uh75242k,310704
00v0o06skl,3298771
00v3py7ooq,1422653
00v742bb74,439587
01188d2ec6,1896872
015wz0i7jm,686483
0174n9s5zb,1258719
017hizxm3t,182860
019h7z9hyq,371
01b38fp04a,2042170
01e5z8uboa,2163837
01khid4m8b,2210089
01l5gtpaww,10524
01mc83wvzb,284518
01p3ynmfs7,5176040
01r3iatdvv,813485
01vcdymtdm,7330
020ia9eujh,675913
021h9b5hoe,2401600
023mzjguit,1010238
026a0etyle,773985
029q92mbfc,1158339
02c9qrqjjj,86000
02j4ylsh0c,797150
02r7iod8l7,327282
02tptrizx7,3152529
033oexa2qw,886828
033qwzzv1o,643495
039664pl26,1504846
039y0r29tw,573382
03fu4odod3,1600842
03fu6zodma,5649077
03im9sqlcr,2143680
03j27kl1xn,3387992
03jbozytmd,570674
03p4y7n05u,3895099
03qbeknjp1,3720627
03s21mu1mp,128044
03xa1sfo09,1217767
0431ssr0wu,18496
046io03d0w,1956642
04atg7t0xx,319047
04fzdotqyw,2446345
04g2w1vlrz,174388
04kwlgm6ke,2284095
04oi1795q5,645742
04ouahws0e,127566
056mdvuvw7,168
056t8rgj4z,627651
058h6gp2af,1081637
05dajvxi0r,3774039
05gtje6w4g,178245
05rokc2ikl,8041
05uz7l4it5,1324694
05yjq0v7f3,844817
05zznjnw3i,1554878
064cfomyz7,241248
064ft1o2mm,1026
066e4qs0h1,580707
066m7i5lcg,2751644
06cfe7ygs7,28952
06pzk21x5s,102709
06sr2tkewn,1409156
06t5vzo7nb,1805048
06y3igvfsg,1374633
075fdcnz1q,667238
07b1x7faw0,362999
07ib5ijano,981351
07ifh0e1ii,1405799
07jd9bv9zg,267
07mba72zco,411779
07mq2l3bkt,1960489
07uj7rw2h7,1983658
07unuo91fa,1972079
07x9tjt5ro,1080463
083lc8hhu5,972779
08i26877bh,473755
08kx4pqoih,48225
08qr6g2rsd,
08tzorh0bp,2836521
08upsqg4uv,616306
08vbg0ebcq,867970
0900278qas,853865
09305vitud,7363953
095jwlhw61,433016
0971ydcr3o,1718211
099n90vunc,1222421
099pbqsgho,1747081
09at1lgyo9,31646
09cwiavmqe,632302
09dgwsr8s6,3149215
09gqbz46wc,234821
09h105tth5,2544447
09myx3kzfp,91304
09sffeo8ji,2005268
09sroumeof,4828870
09t0vkjf3n,508462
09z46wr657,304504
0a75kan8y6,2595304
0a9u9rm1lm,
0af0mo0heo,1356717
0albgg7ke2,456867
0ao1k7kj1t,16147
0aqv44zp06,2157360
0ar0xi9ujt,772708
0arv4l3bvf,52578
0aukjozmpu,271346
0awc3ykd6e,2895599
0axhxz1wuv,1339490
0aym663pk7,1365715
0azgtb0w3a,1728899
0b0b7qtpjn,575203
0b0lzqb3yt,6083
0b9fwu47b8,1762465
0batyyvsfs,613922
0bc4eiqd0u,3551490
0bf0roqtbv,1099983
0bhmx7bp62,1158110
0bijp49oaj,5002717
0blfsvahxp,1259279
0bo299uzoz,352797
0brf3dke01,1079300
0bt72fmceb,546602
0bzjkyokmt,1001158
0c1qb6rqpo,5176922
0c4urlhpei,2299429
0c6h5dqzoo,414631
0cbp0in9ew,1327456
0cef55zmjj,244409
0cei6w8np0,818185
0chwruxivl,3686245
0cjfnw7xn2,1056045
0ck0fdzw12,2134406
0ckn1p1t1h,138796
0cqesmfcs0,191660
0crr2a1uw1,648
0cue8owzif,1556665
0cuwkmmeo0,260
0cv1wj6wd5,556036
0cw5x0x9wh,1396441
0cyihyw891,859611
0d07b01gfn,477582
0d5vybwfbk,1048516
0d7cfa72ml,2566337
0d811bmhzf,1473353
0d8epmiqjt,2625767
0de25mri9t,1367682
0dl6vmi4jx,3043921
0dp4ftxf2i,607658
0drplnhpnx,3424157
0dry9kp4t5,323
0dwtsmbzqq,14364
0e09pv00ip,890198
0e0p6zwcmq,741629
0e4xse7kuh,9476
0e7o7b62am,1721763
0e9rascg0c,238085
0eecr06fpy,78407
0ejjsbt0mj,2293413
0ev18cvshw,113901
0ezjo8qfyq,579419
0f2kmfxlj0,15539
0f3759bc76,134947
0f3q9q00qu,1460929
0f5ljbs9q9,86090
0f5nkcnnmu,951503
0f69ebol95,949575
0ffhi0fkyc,1693550
0fmygvzjhf,744107
0fs8zmuud5,296499
0g0gb6e834,1526776
0g1n50ntpd,647431
0g2xq4m20f,3040380
0g7619ussj,3999
0g7bumb84f,1118865
0ga4gtih13,38747
0ga98czgu4,1868695
0geneqm9vs,504
0gjypmsbpa,7590506
0gm2mbaeiz,676765
0gohm8ykij,195388
0gpidrdm9h,824617
0gpmrcm8y8,624701
0gtpdlq0e2,5060
0gu4b6syyt,2014793
0gwnjqum9m,898344
0gyxhfpm4o,517355
0gz2ojpnx4,1310718
0h215ef2b7,74367
0h5gee5ywk,417082
0h8lhey944,15184400
0ham51wipt,1861665
0hcuuelxtg,4540261
0hd0eohy12,2955694
0hdag3o95q,536851
0he4zj6e3k,842584
0hff3jklnq,183
0hiz56zwb3,1001122
0hlvffb8nu,1851405
0hs43eb23m,584836
0i0hh7u20x,36903
0i1e4dtrw9,2382
0i3tezq08s,478
0i8gub49h9,1142539
0i96ktlopm,103542
0icc1mbn55,135063
0ie8x9w5o7,4777
0ieskdnu1x,601
0in3rn9e8z,803006
0iumt4h1qj,2407362
0ix5rzzpy2,214354
0j33fp32up,409737
0j3jw53lp2,14837
0j5slwvqd4,471247
0j753q0f3d,17653
0j7dnhkhdb,6393
0jalsqozbq,904833
0jbjdn8qp9,200
0jemcbancn,30059
0jizz1ioq5,7823171
0jllvidbue,529022
0jq7pe0cb9,145732
0k5512tvai,723086
0k6cz2jg51,1915352
0k9eckjoem,1820700
0k9mj3o2ne,19432
0kdsvgzx3m,96943
0kkyvdptwf,2028772
0kp9jo2ffe,16482417
0ktd7mkrj3,364565
0kx56ctxbc,2292605
0kzdud7zb7,390895
0kzx117d1i,1231211
0l0c7j3r0h,1350808
0l461nxs9e,744587
0l8mzrkwlj,384986
0lb9kq8amq,2554798
0lbc1mjaoy,958562
0lfm9i603g,814738
0ligxfzckb,5801908
0llilcz8ub,4405760
0luf7pzru5,72533
0luqmdtdj3,262865
0lxny54flu,3096857
0m18zx9bvp,1138876
0m2ao0qnzn,3348
0m5csfxx8q,4789378
0mghcg4y1s,12676
0mj2n4z537,4566257
0mmx5tp8l8,2598381
0mmztbbadb,3483002
0mukza64ng,93120
0mwjbxsz26,591831
0myopkoqkf,252616
0mz4757sl1,947347
0n08nxxnq0,233196
0nb493dlqi,1441178
0nby31atfq,774
0nin1t4mvf,1304129
0nj9omrii9,28234
0njpq2geoe,3249264
0njwmfjw4o,986798
0nn5ygi3eh,1902638
0nvi14rc4u,
0nwnuy9age,3258630
0o2c1u3rt7,1116
0oalr6tzgw,151193
0obswtq5to,6359750
0of6ilkciw,574076
0ojs0iz8ea,170206
0on008indy,167044
0opf15r4dq,1729863
0ou85plv7m,376
0owalacqfn,871939
0oxs2lnoa1,392990
0p0htadqx7,4364486
0p0lgkdf1a,347121
0p3nygn74z,2446795
0p5wd63akg,3634768
0p7ql907j7,3587920
0p80c9ndgr,836791
0p870y1flf,6387565
0p897871ia,1306760
0pcj7hsynz,196
0pcyuxdu4l,805099
0pgd8mp7s7,571052
0pj7qt5fe3,786913
0pkx6kvxuf,1782879
0poudi3s0b,236652
0pqhrbjsrt,4330944
0pu0qhxw0w,873443
0pvgsmp2bp,795346
0pwhce0n9t,327165
0pxwcicbhb,91984
0q2grudg8v,3881083
0q46mepybc,661919
0q4ma1yq5p,4771115
0qa3m63dbx,167
0qcmxxr9c0,3465060
0qd71gsbd8,3711634
0qev8qo3a4,1283942
0qf2e6lu74,374986
0qhimv05pp,698708
0qjr4n68zb,517815
0qkyibhgjm,975737
0qneuyilmt,2556797
0qspx615i1,1921393
0r04ylsfbw,395858
0r2m9w6x5j,608486
0r3uoe6p50,594404
0r3xi1qm4i,1624785
0r48wjn30g,2080556
0rhkil0ps0,625772
0ripp0xe37,1105245
0rsgc06e8v,2410782
0ruy5wn1oi,318918
0rvjax9y4g,30909
0rxlywetpc,3946198
0rznciavs4,914785
0s4kv4ijjx,779078
0s5n216xvy,1822091
0s5rjw7eeg,4198886
0s622li1zd,403611
0s7aihiz1m,9223536
0s8ess0mw2,1641862
0s8o8ram37,320271
0s923djbe8,1472245
0scti3n4ep,1089870
0sgj693nzn,2545163
0snbw5qh5p,317030
0srlup8hgt,1227167
0ss50kk4qx,3021648
0sx558vxc3,711873
0syrv8czhw,1384254
0t1d1atj96,2338221
0t3jrsjmx3,649186
0t5h9wj2uv,
0t5q8j34yi,679066
0t8d9cyzup,716
0t97dvqtbv,935
0tavwhnjua,1304033
0tcuhtqooj,156168
0teb2f9sxu,3455143
0tf3rkrqf3,3943964
0tgasvhj3j,250
0tgjc6roc8,551029
0thwdkg13d,229
0tiqwh4ui7,2827758
0tk0dm7cbq,1011561
0tkclzz4ac,1155622
0tl5y8mz3p,3263896
0tmko8kyh0,7953
0tpz4y9fqq,48665
0trlep73jq,973565
0tsia0f2k5,2092516
0ttm1fawcc,941092
0ty5n5ymj7,180367
0u2at834q4,523181
0u4ax8ggwk,950431
0u5zeh2nvm,1636068
0ug9vda1nx,619696
0uhvul4pt4,372757
0ukry9absh,931366
0uv4rv8d0r,411567
0uvr81adnc,2573028
0uy14wpbao,3446
0v0gh6t3ed,8015244
0v1hsyugxr,1520076
0v5n0tlr9j,146
0v8rgbomwo,1407248
0vfeyz83w7,785
0vgu0axalf,1584003
0viuzi7usa,397715
0vk51nepvi,247
0vogj60otp,418
0vvwq5z1nf,964317
0vx37rdt97,41581
0vxpj5m9l6,116947
0w21rd1gua,1018364
0w30kfo8k7,1642669
0w6aprofla,229375
0wdf0h5vdz,819018
0wg9imuufa,1730582
0wjt40s9wg,1313004
0wlhddbhze,2218047
0wma4w9un5,772050
0wmi8tcjgy,494
0wse6xjux8,966138
0wu4bdh9g5,310712
0wvcix5xwy,2216042
0wvgop461z,2408590
0x0ubgof8i,2244
0x1cvllrlj,112903
0x5s0wts5v,1191
0xh8f6v4du,1849455
0xhwbkftzp,2911726
0xptlqqt6n,693610
0xr15lsk0n,1115566
0xujr1djug,2228721
0xvgyk27yo,1086203
0xwxt25kom,289419
0xyo4sa2mk,48423
0y37x9y9sp,641
0y394m4h08,1812455
0y53xiddl5,2019306
0y6o7b57as,1917215
0y77dpffo6,720
0y7z94qxro,6428
0yfe5gy5ug,66097
0yg2ivlkf4,3708036
0ykbtf75hv,97365
0yn2ly0sbe,1951805
0yoer6qnwc,27622
0ypplschmj,1499219
0yu2982uzs,2846184
0yx3fx5xin,781493
0yx5nhar5s,7890810
0z0gmgc0t8,253382
0z2qzf8fjz,1867836
0z6norzxme,142532
0z881s9hoa,560579
0zahte4hxq,257
0zb25bmou9,341529
0zbyjl4cfh,1076363
0zf63543lu,248673
0zhatqmwk3,766202
0zi18l49a1,1205479
0zltwue43l,1855177
0znhhkdz57,72847
0zno5bbi3h,199
0zsqp7jj1k,1215717
0zsum6b9c5,1120360
0zxqyqpxc3,1702586
103zfgptkm,5166824
104u0s4vt7,22936008
1066rvqlm6,1043723
10c39b531q,161188
10jombk81x,
10nkoifny1,1632307
10sk9mf75t,104
10tdhi81bn,200868
10u9e88mjn,545130
10wk729pca,297863
10ylgkz0lb,4182
1133ewigrc,3294544
11349c0bw3,1773586
113g9anioj,1858011
114og84bkj,2594836
11581i5wng,153412
116n0idcst,761094
117h1y7yqh,1538124
117w7lc2wl,498442
11eqr4vjlc,164850
11kpjxindg,900227
11ooqi06ry,572123
11r3ktinll,3219191
11t2gm571h,386600
11w8rlpuon,388195
12811mu8pz,146266
12cfhk1m5n,1228100
12gepvkd09,319756
12jdgwwmr5,2213166
12kjiaxh3u,388547
12nm48jdqa,6085
12nxco28pf,17986
12qmd2ylq2,102829
12yfv0ag3s,1026631
133lby3w5g,304099
136pvde5xn,2654327
139mmei2t9,6652537
13g2mj0m3c,1262137
13iz5r2upb,3748506
13kob6uqd0,884242
13royl4f76,853902
13sac8four,2088
13ugas242w,330475
13wk3suq5x,38008
140rb781sj,362092
140u9e6rc8,665824
143wftj6nx,1271871
143zmu21vr,2117313
147uaz8yva,560051
14bxq6vza6,3795761
14hl8arany,1706826
